plan_code,plan_category,plan_tier,billing_cycle_months,label_th,features_th,retail_price,partner_cost,zudobot_internal_cost,vat_rate,vat_retail,vat_partner,retail_incl_vat,partner_incl_vat,partner_gross_profit,partner_gross_margin_pct,zudobot_profit_from_partner,zudobot_profit_from_direct
base_starter_1m,BASE_PLAN,Starter,1,Starter รายเดือน,"1,000 ข้อความ/เดือน • เชื่อมต่อ 1 FB / 1 LINE OA+ • ระบบซัพพอร์ตระดับมาตรฐาน",1290,780,280,0.07,100,60,1390,840,510,39.53%,500,1010
base_starter_6m,BASE_PLAN,Starter,6,Starter 6 เดือน,"1,000 ข้อความ/เดือน • เชื่อมต่อ 1 FB / 1 LINE OA+ • ระบบซัพพอร์ตระดับมาตรฐาน",6970,4190,1630,0.07,490,300,7460,4490,2780,39.88%,2560,5340
base_starter_12m,BASE_PLAN,Starter,12,Starter 1 ปี,"1,000 ข้อความ/เดือน • เชื่อมต่อ 1 FB / 1 LINE OA+ • ระบบซัพพอร์ตระดับมาตรฐาน",12390,7440,3210,0.07,870,530,13260,7970,4950,39.95%,4230,9180
base_growth_1m,BASE_PLAN,Growth,1,Growth รายเดือน,"5,000 ข้อความ/เดือน • เชื่อมต่อ 3 FB / 3 LINE OA+ • ระบบซัพพอร์ตเร่งด่วน (Priority)",2490,1500,550,0.07,180,110,2670,1610,990,39.76%,950,1940
base_growth_6m,BASE_PLAN,Growth,6,Growth 6 เดือน,"5,000 ข้อความ/เดือน • เชื่อมต่อ 3 FB / 3 LINE OA+ • ระบบซัพพอร์ตเร่งด่วน (Priority)",13450,8070,3260,0.07,950,570,14400,8640,5380,40.00%,4810,10190
base_growth_12m,BASE_PLAN,Growth,12,Growth 1 ปี,"5,000 ข้อความ/เดือน • เชื่อมต่อ 3 FB / 3 LINE OA+ • ระบบซัพพอร์ตเร่งด่วน (Priority)",23910,14350,6440,0.07,1680,1010,25590,15360,9560,39.98%,7910,17470
base_pro_1m,BASE_PLAN,Pro,1,Pro รายเดือน,ไม่จำกัดข้อความ (Fair Use 20k+) • เชื่อมต่อ FB/LINE ไม่จำกัด • Custom Knowledge Base ส่วนตัว,4990,3000,1100,0.07,350,210,5340,3210,1990,39.88%,1900,3890
base_pro_6m,BASE_PLAN,Pro,6,Pro 6 เดือน,ไม่จำกัดข้อความ (Fair Use 20k+) • เชื่อมต่อ FB/LINE ไม่จำกัด • Custom Knowledge Base ส่วนตัว,26950,16170,6520,0.07,1890,1140,28840,17310,10780,40.00%,9650,20430
base_pro_12m,BASE_PLAN,Pro,12,Pro 1 ปี,ไม่จำกัดข้อความ (Fair Use 20k+) • เชื่อมต่อ FB/LINE ไม่จำกัด • Custom Knowledge Base ส่วนตัว,47910,28750,12900,0.07,3360,2020,51270,30770,19160,39.99%,15850,35010
quota_1k_1m,QUOTA_ADDON,+1000 msg,1,+1,000 ข้อความ/เดือน (รายเดือน),เพิ่มโควต้า +1,000 ข้อความ/เดือน (เหมาะสำหรับธุรกิจเล็ก),250,150,60,0.07,20,20,270,170,100,40.00%,90,190
quota_1k_6m,QUOTA_ADDON,+1000 msg,6,+1,000 ข้อความ/เดือน (6 เดือน),เพิ่มโควต้า +1,000 ข้อความ/เดือน (เหมาะสำหรับธุรกิจเล็ก),1350,810,360,0.07,100,60,1450,870,540,40.00%,450,990
quota_1k_12m,QUOTA_ADDON,+1000 msg,12,+1,000 ข้อความ/เดือน (1 ปี),เพิ่มโควต้า +1,000 ข้อความ/เดือน (เหมาะสำหรับธุรกิจเล็ก),2400,1440,720,0.07,170,110,2570,1550,960,40.00%,720,1680
quota_5k_1m,QUOTA_ADDON,+5000 msg,1,+5,000 ข้อความ/เดือน (รายเดือน),เพิ่มโควต้า +5,000 ข้อความ/เดือน (คุ้มค่าที่สุด),690,420,150,0.07,50,30,740,450,270,39.13%,270,540
quota_5k_6m,QUOTA_ADDON,+5000 msg,6,+5,000 ข้อความ/เดือน (6 เดือน),เพิ่มโควต้า +5,000 ข้อความ/เดือน (คุ้มค่าที่สุด),3730,2240,900,0.07,270,160,4000,2400,1490,39.95%,1340,2830
quota_5k_12m,QUOTA_ADDON,+5000 msg,12,+5,000 ข้อความ/เดือน (1 ปี),เพิ่มโควต้า +5,000 ข้อความ/เดือน (คุ้มค่าที่สุด),6630,3980,1800,0.07,470,280,7100,4260,2650,39.97%,2180,4830
quota_20k_1m,QUOTA_ADDON,+20000 msg,1,+20,000 ข้อความ/เดือน (รายเดือน),เพิ่มโควต้า +20,000 ข้อความ/เดือน (สำหรับธุรกิจขนาดกลาง),2290,1380,500,0.07,170,100,2460,1480,910,39.74%,880,1790
quota_20k_6m,QUOTA_ADDON,+20000 msg,6,+20,000 ข้อความ/เดือน (6 เดือน),เพิ่มโควต้า +20,000 ข้อความ/เดือน (สำหรับธุรกิจขนาดกลาง),12370,7430,3000,0.07,870,530,13240,7960,4940,39.94%,4430,9370
quota_20k_12m,QUOTA_ADDON,+20000 msg,12,+20,000 ข้อความ/เดือน (1 ปี),เพิ่มโควต้า +20,000 ข้อความ/เดือน (สำหรับธุรกิจขนาดกลาง),21990,13200,6000,0.07,1540,930,23530,14130,8790,39.97%,7200,15990
ret_30d_1m,RETENTION_ADDON,30 Days,1,เก็บข้อมูล 30 วัน (รายเดือน),ขยายเวลาเก็บประวัติแชทและข้อมูลเป็น 30 วัน (จากเดิม 7 วัน),350,210,60,0.07,30,20,380,230,140,40.00%,150,290
ret_30d_6m,RETENTION_ADDON,30 Days,6,เก็บข้อมูล 30 วัน (6 เดือน),ขยายเวลาเก็บประวัติแชทและข้อมูลเป็น 30 วัน (จากเดิม 7 วัน),1890,1140,360,0.07,140,80,2030,1220,750,39.68%,780,1530
ret_30d_12m,RETENTION_ADDON,30 Days,12,เก็บข้อมูล 30 วัน (1 ปี),ขยายเวลาเก็บประวัติแชทและข้อมูลเป็น 30 วัน (จากเดิม 7 วัน),3360,2020,720,0.07,240,150,3600,2170,1340,39.88%,1300,2640
ret_90d_1m,RETENTION_ADDON,90 Days,1,เก็บข้อมูล 90 วัน (รายเดือน),ขยายเวลาเก็บประวัติแชทและข้อมูลเป็น 90 วัน,790,480,120,0.07,60,40,850,520,310,39.24%,360,670
ret_90d_6m,RETENTION_ADDON,90 Days,6,เก็บข้อมูล 90 วัน (6 เดือน),ขยายเวลาเก็บประวัติแชทและข้อมูลเป็น 90 วัน,4270,2570,720,0.07,300,180,4570,2750,1700,39.81%,1850,3550
ret_90d_12m,RETENTION_ADDON,90 Days,12,เก็บข้อมูล 90 วัน (1 ปี),ขยายเวลาเก็บประวัติแชทและข้อมูลเป็น 90 วัน,7590,4560,1440,0.07,540,320,8130,4880,3030,39.92%,3120,6150
